Site,Sample,Lat,Long,Dec,Inc,a95,Site_Var,Bed_RHS,Bed_Dip,Notes
JP1128,A,-25.70673333,16.69608333,91.9,61.1,,-16.05,278,61,
JP1128,C,-25.70673333,16.69608333,44.7,60.5,,-16.05,260,58,
JP1128,F,-25.70673333,16.69608333,350.3,54.8,,-16.05,302,40,
JP1128,G,-25.70673333,16.69608333,321.6,69,,-16.05,279,47,
JP1128,H,-25.70673333,16.69608333,337.2,53.7,,-16.05,276,50,
JP1128,I,-25.70673333,16.69608333,31,47.4,,-16.05,285,44,
JP1128,J,-25.70673333,16.69608333,59.4,51.9,,-16.05,280,52,
JP1138,A,-25.66461667,16.67433333,10.9,-21.4,,-15.4,125,13,
JP1138,B,-25.66461667,16.67433333,4.2,-12.1,,-15.4,125,13,
JP1138,C,-25.66461667,16.67433333,9.5,-39.3,,-15.4,125,13,
JP1138,D,-25.66461667,16.67433333,351.3,-27.2,,-15.4,125,13,
JP1138,E,-25.66461667,16.67433333,18.5,-12.9,,-15.4,125,13,
JP1138,F,-25.66461667,16.67433333,2.2,-15.2,,-15.4,125,13,
JP1138,G,-25.66461667,16.67433333,20.3,-22.6,,-15.4,125,13,
JP1138,H,-25.66461667,16.67433333,356.5,-20.8,,-15.4,125,13,
JP1138,I,-25.66461667,16.67433333,13.3,-1.8,,-15.4,125,13,
JP1138,J,-25.66461667,16.67433333,2.6,14.1,,-15.4,125,13,
JP1138,K,-25.66461667,16.67433333,359.7,1.9,,-15.4,125,13,
JP1138,L,-25.66461667,16.67433333,14.5,-53.8,,-15.4,125,13,
JP1139,B,-25.70685,16.6967,305.4,36.9,,-14.75,325,102,
JP1139,C,-25.70685,16.6967,296.4,59.1,,-14.75,325,102,
JP1139,D,-25.70685,16.6967,320.5,63.1,,-14.75,325,102,
JP1139,E,-25.70685,16.6967,303.6,39.4,,-14.75,325,102,
JP1139,F,-25.70685,16.6967,309.5,41.1,,-14.75,325,102,
JP1139,G,-25.70685,16.6967,295.6,41.2,,-14.75,335,102,
JP1139,H,-25.70685,16.6967,303.4,57.2,,-14.75,335,102,
JP1139,I,-25.70685,16.6967,306,46.5,,-14.75,335,102,
JP1139,J,-25.70685,16.6967,313.5,49.1,,-14.75,329,121,
JP1139,K,-25.70685,16.6967,327.2,56.2,,-14.75,329,121,
JP1139,L,-25.70685,16.6967,328,20.3,,-14.75,329,121,
JP1139,M,-25.70685,16.6967,289.4,32.2,,-14.75,329,121,
JP1139,N,-25.70685,16.6967,291.5,47.6,,-14.75,314,108,
JP1139,P,-25.70685,16.6967,286.4,48.6,,-14.75,314,108,
JP1139,S,-25.70685,16.6967,270.6,34.8,,-14.75,310,125,
JP1139,T,-25.70685,16.6967,288.9,18.3,,-14.75,310,125,
