Site,Brief Description,Formation,Type,Group,Age (Ma),Age Uncert (Ma),Site Latitude (°N),Site Longitude (°E),RHS,Dip,Declination (°),Inclination (°),a-95 (°),n_Used,N_Collected,Notes
JP1101,Rhyolite Dyke,Post Guperas,Dyke,,,,-25.72498333,16.57878333,,,187.7,6.5,11,3,,
JP1101,Contact,Post Guperas,Dyke,,,,-25.72498333,16.57878333,,,,,,,,
JP1101,Host rock,Post Guperas,Dyke,,,,-25.72498333,16.57878333,,,47.2,-19,11,6,7,
JP1102,Rhyolite Porphyry Dyke,Post Guperas,Dyke,F,,,-25.72565,16.59591667,,,9.8,-43,5.9,8,8,
JP1102,Dyke LoT,Post Guperas,Dyke,F,,,-25.72565,16.59591667,,,24.5,-55.1,25.4,4,5,
JP1103,Rhyolite Porphyry Dyke,Post Guperas,Dyke,,,,-25.71505,16.61878333,,,,,,,,LIGHTNING
JP1104,Mafic sides of JP1103,Post Guperas,Dyke,,,,-25.72565,16.59591667,,,,,,,,LIGHTNING
JP1105,C-E,Post Guperas,Dyke,,,,-25.71338333,16.63891667,,,120.3,21.1,10.1,3,8,
JP1107,Rhyolite Dyke,Post Guperas,Dyke,C,,,-25.71338333,16.63891667,,,2.1,-27.7,12.8,5,8,
JP1108,Diabase Dyke,Post Guperas,Dyke,B,,,-25.51003333,16.62351667,,,354.1,18.8,13.3,7,8,
JP1109,Rhyolite Dyke,Post Guperas,Dyke,B,,,-25.51003333,16.62351667,,,339,16.9,4.8,8,8,
JP1110,Dyke,Post Guperas,Dyke,,,,-25.5064,16.6205,,,260.7,-37.2,10.6,7,8,
JP1111,Rhyolite Dyke,Post Guperas,Dyke,,,,-25.45285,16.5856,,,22.7,6.2,16.2,8,8,
JP1111,LoT,Post Guperas,Dyke,,,,-25.45285,16.5856,,,281,51.4,17.7,6,8,
JP1112,Potassic Dyke,Post Guperas,Dyke,,,,-25.4535,16.58686667,,,15.9,1.1,5.6,5,,
JP1113,Potassic Dyke,Post Guperas,Dyke,,,,-25.4536,16.58726667,,,13.2,-11.3,5.9,6,8,
JP1114,Mafic intruding Rhyolite,Post Guperas,Dyke,,,,-25.48251667,16.5814,,,3.7,-0.5,5.7,8,,
JP1115,Rhyolite Porphyry,Post Guperas,Dyke,,,,-25.48271667,16.58153333,,,10.8,8.5,4.7,8,,
JP1116,Rhyolite Porphyry,Post Guperas,Dyke,,,,-25.48281667,16.58191667,,,291.9,28.4,9.7,8,8,
JP1116,LoT,Post Guperas,Dyke,,,,-25.48281667,16.58191667,,,0.5,-46.8,7.2,5,8,
JP1117,Dolerite Dyke,Post Guperas,Dyke,,,,-25.48338333,16.58223333,,,347.7,-9.3,14.8,8,8,
JP1118,K-spar Porphyry Chill,Post Guperas,Dyke,A,,,-25.48296667,16.58423333,,,357.1,-33.3,5.7,6,6,
